REF_DATE,GEO,Labour force characteristics,VALUE
2019-01,Saskatchewan,Employment rate,65.1
2019-01,Alberta,Employment,2292.0
2019-01,Alberta,Full-time employment,1874.3
2019-01,Alberta,Part-time employment,417.7
2019-01,Alberta,Unemployment rate,6.6
2019-01,Alberta,Participation rate,71.7
2019-01,Alberta,Employment rate,66.9
2019-01,British Columbia,Employment,2669.3
2019-01,British Columbia,Full-time employment,2078.5
2019-01,British Columbia,Part-time employment,590.8
2019-01,British Columbia,Unemployment rate,4.7
2019-01,British Columbia,Participation rate,66.7
2019-01,British Columbia,Employment rate,63.5
2019-02,Newfoundland and Labrador,Employment,234.3
2019-02,Newfoundland and Labrador,Full-time employment,200.0
2019-02,Newfoundland and Labrador,Part-time employment,34.2
2019-02,Newfoundland and Labrador,Unemployment rate,12.1
2019-02,Newfoundland and Labrador,Participation rate,59.3
2019-02,Newfoundland and Labrador,Employment rate,52.2
2019-02,Prince Edward Island,Employment,76.4
2019-02,Prince Edward Island,Full-time employment,64.9
2019-02,Prince Edward Island,Part-time employment,11.5
2019-02,Prince Edward Island,Unemployment rate,9.9
2019-02,Prince Edward Island,Participation rate,66.6
2019-02,Prince Edward Island,Employment rate,60.0
2019-02,Nova Scotia,Employment,458.9
2019-02,Nova Scotia,Full-time employment,375.1
2019-02,Nova Scotia,Part-time employment,83.7
2019-02,Nova Scotia,Unemployment rate,7.1
2019-02,Nova Scotia,Participation rate,61.4
2019-02,Nova Scotia,Employment rate,57.0
2019-02,New Brunswick,Employment,360.3
2019-02,New Brunswick,Full-time employment,304.9
2019-02,New Brunswick,Part-time employment,55.4
2019-02,New Brunswick,Unemployment rate,8.8
2019-02,New Brunswick,Participation rate,61.8
2019-02,New Brunswick,Employment rate,56.4
2019-02,Quebec,Employment,4282.2
2019-02,Quebec,Full-time employment,3451.2
2019-02,Quebec,Part-time employment,831.0
2019-02,Quebec,Unemployment rate,5.2
2019-02,Quebec,Participation rate,65.2
2019-02,Quebec,Employment rate,61.8
2019-02,Ontario,Employment,7358.8
2019-02,Ontario,Full-time employment,5986.3
2019-02,Ontario,Part-time employment,1372.6
2019-02,Ontario,Unemployment rate,5.6
2019-02,Ontario,Participation rate,65.2
2019-02,Ontario,Employment rate,61.6
2019-02,Manitoba,Employment,659.0
2019-02,Manitoba,Full-time employment,530.4
2019-02,Manitoba,Part-time employment,128.6
2019-02,Manitoba,Unemployment rate,5.6
2019-02,Manitoba,Participation rate,67.4
2019-02,Manitoba,Employment rate,63.6
2019-02,Saskatchewan,Employment,569.9
2019-02,Saskatchewan,Full-time employment,465.8
2019-02,Saskatchewan,Part-time employment,104.1
2019-02,Saskatchewan,Unemployment rate,5.9
2019-02,Saskatchewan,Participation rate,68.9
2019-02,Saskatchewan,Employment rate,64.9
2019-02,Alberta,Employment,2288.8
2019-02,Alberta,Full-time employment,1876.2
2019-02,Alberta,Part-time employment,412.6
2019-02,Alberta,Unemployment rate,7.3
2019-02,Alberta,Participation rate,72.0
2019-02,Alberta,Employment rate,66.8
2019-02,British Columbia,Employment,2677.3
2019-02,British Columbia,Full-time employment,2084.4
2019-02,British Columbia,Part-time employment,592.9
2019-02,British Columbia,Unemployment rate,4.6
2019-02,British Columbia,Participation rate,66.7
2019-02,British Columbia,Employment rate,63.7
2019-03,Newfoundland and Labrador,Employment,233.8
2019-03,Newfoundland and Labrador,Full-time employment,196.8
2019-03,Newfoundland and Labrador,Part-time employment,36.9
2019-03,Newfoundland and Labrador,Unemployment rate,12.3
2019-03,Newfoundland and Labrador,Participation rate,59.4
2019-03,Newfoundland and Labrador,Employment rate,52.1
2019-03,Prince Edward Island,Employment,77.2
2019-03,Prince Edward Island,Full-time employment,65.7
2019-03,Prince Edward Island,Part-time employment,11.4
2019-03,Prince Edward Island,Unemployment rate,9.4
2019-03,Prince Edward Island,Participation rate,66.7
2019-03,Prince Edward Island,Employment rate,60.5
2019-03,Nova Scotia,Employment,459.8
2019-03,Nova Scotia,Full-time employment,371.0
2019-03,Nova Scotia,Part-time employment,88.9
2019-03,Nova Scotia,Unemployment rate,6.9
2019-03,Nova Scotia,Participation rate,61.3
2019-03,Nova Scotia,Employment rate,57.1
2019-03,New Brunswick,Employment,362.4
2019-03,New Brunswick,Full-time employment,305.9
2019-03,New Brunswick,Part-time employment,56.5
2019-03,New Brunswick,Unemployment rate,8.1
2019-03,New Brunswick,Participation rate,61.7
2019-03,New Brunswick,Employment rate,56.7
2019-03,Quebec,Employment,4267.3
2019-03,Quebec,Full-time employment,3437.8
2019-03,Quebec,Part-time employment,829.5
2019-03,Quebec,Unemployment rate,5.3
2019-03,Quebec,Participation rate,65.0
2019-03,Quebec,Employment rate,61.5
2019-03,Ontario,Employment,7344.4
2019-03,Ontario,Full-time employment,5992.8
2019-03,Ontario,Part-time employment,1351.6
2019-03,Ontario,Unemployment rate,5.9
2019-03,Ontario,Participation rate,65.2
2019-03,Ontario,Employment rate,61.4
2019-03,Manitoba,Employment,660.3
2019-03,Manitoba,Full-time employment,530.2
2019-03,Manitoba,Part-time employment,130.0
2019-03,Manitoba,Unemployment rate,5.3
2019-03,Manitoba,Participation rate,67.2
2019-03,Manitoba,Employment rate,63.6
2019-03,Saskatchewan,Employment,574.9
2019-03,Saskatchewan,Full-time employment,471.8
2019-03,Saskatchewan,Part-time employment,103.0
2019-03,Saskatchewan,Unemployment rate,5.1
2019-03,Saskatchewan,Participation rate,69.0
2019-03,Saskatchewan,Employment rate,65.4
2019-03,Alberta,Employment,2281.5
2019-03,Alberta,Full-time employment,1886.3
2019-03,Alberta,Part-time employment,395.2
2019-03,Alberta,Unemployment rate,6.9
2019-03,Alberta,Participation rate,71.4
2019-03,Alberta,Employment rate,66.5
2019-03,British Columbia,Employment,2671.5
2019-03,British Columbia,Full-time employment,2086.8
2019-03,British Columbia,Part-time employment,584.7
2019-03,British Columbia,Unemployment rate,4.8
2019-03,British Columbia,Participation rate,66.7
2019-03,British Columbia,Employment rate,63.5
2019-04,Newfoundland and Labrador,Employment,233.0
2019-04,Newfoundland and Labrador,Full-time employment,196.3
2019-04,Newfoundland and Labrador,Part-time employment,36.7
2019-04,Newfoundland and Labrador,Unemployment rate,11.9
2019-04,Newfoundland and Labrador,Participation rate,59.0
2019-04,Newfoundland and Labrador,Employment rate,51.9
2019-04,Prince Edward Island,Employment,77.7
2019-04,Prince Edward Island,Full-time employment,65.8
2019-04,Prince Edward Island,Part-time employment,11.9
2019-04,Prince Edward Island,Unemployment rate,9.2
2019-04,Prince Edward Island,Participation rate,66.9
2019-04,Prince Edward Island,Employment rate,60.7
2019-04,Nova Scotia,Employment,459.6
2019-04,Nova Scotia,Full-time employment,373.0
2019-04,Nova Scotia,Part-time employment,86.6
2019-04,Nova Scotia,Unemployment rate,7.4
2019-04,Nova Scotia,Participation rate,61.6
2019-04,Nova Scotia,Employment rate,57.0
2019-04,New Brunswick,Employment,358.6
2019-04,New Brunswick,Full-time employment,301.6
2019-04,New Brunswick,Part-time employment,57.0
2019-04,New Brunswick,Unemployment rate,8.2
2019-04,New Brunswick,Participation rate,61.0
2019-04,New Brunswick,Employment rate,56.0
2019-04,Quebec,Employment,4313.0
2019-04,Quebec,Full-time employment,3474.3
2019-04,Quebec,Part-time employment,838.7
2019-04,Quebec,Unemployment rate,4.8
2019-04,Quebec,Participation rate,65.3
2019-04,Quebec,Employment rate,62.1
2019-04,Ontario,Employment,7381.4
2019-04,Ontario,Full-time employment,5991.3
2019-04,Ontario,Part-time employment,1390.1
2019-04,Ontario,Unemployment rate,5.9
2019-04,Ontario,Participation rate,65.5
2019-04,Ontario,Employment rate,61.6
2019-04,Manitoba,Employment,662.8
2019-04,Manitoba,Full-time employment,533.0
2019-04,Manitoba,Part-time employment,129.8
2019-04,Manitoba,Unemployment rate,5.1
2019-04,Manitoba,Participation rate,67.2
2019-04,Manitoba,Employment rate,63.8
2019-04,Saskatchewan,Employment,575.4
2019-04,Saskatchewan,Full-time employment,475.1
2019-04,Saskatchewan,Part-time employment,100.3
2019-04,Saskatchewan,Unemployment rate,5.4
2019-04,Saskatchewan,Participation rate,69.2
2019-04,Saskatchewan,Employment rate,65.5
2019-04,Alberta,Employment,2313.5
2019-04,Alberta,Full-time employment,1893.0
2019-04,Alberta,Part-time employment,420.5
2019-04,Alberta,Unemployment rate,6.5
2019-04,Alberta,Participation rate,72.0
2019-04,Alberta,Employment rate,67.3
2019-04,British Columbia,Employment,2678.7
2019-04,British Columbia,Full-time employment,2106.8
2019-04,British Columbia,Part-time employment,572.0
2019-04,British Columbia,Unemployment rate,4.7
2019-04,British Columbia,Participation rate,66.7
2019-04,British Columbia,Employment rate,63.5
2019-05,Newfoundland and Labrador,Employment,230.7
2019-05,Newfoundland and Labrador,Full-time employment,197.1
2019-05,Newfoundland and Labrador,Part-time employment,33.5
2019-05,Newfoundland and Labrador,Unemployment rate,12.4
2019-05,Newfoundland and Labrador,Participation rate,58.7
2019-05,Newfoundland and Labrador,Employment rate,51.4
2019-05,Prince Edward Island,Employment,77.3
2019-05,Prince Edward Island,Full-time employment,65.8
2019-05,Prince Edward Island,Part-time employment,11.5
2019-05,Prince Edward Island,Unemployment rate,8.7
2019-05,Prince Edward Island,Participation rate,66.0
2019-05,Prince Edward Island,Employment rate,60.3
2019-05,Nova Scotia,Employment,465.3
2019-05,Nova Scotia,Full-time employment,377.1
2019-05,Nova Scotia,Part-time employment,88.1
2019-05,Nova Scotia,Unemployment rate,7.1
2019-05,Nova Scotia,Participation rate,62.0
2019-05,Nova Scotia,Employment rate,57.7
2019-05,New Brunswick,Employment,362.5
2019-05,New Brunswick,Full-time employment,306.6
2019-05,New Brunswick,Part-time employment,55.9
2019-05,New Brunswick,Unemployment rate,7.7
2019-05,New Brunswick,Participation rate,61.3
2019-05,New Brunswick,Employment rate,56.6
2019-05,Quebec,Employment,4287.8
2019-05,Quebec,Full-time employment,3463.2
2019-05,Quebec,Part-time employment,824.6
2019-05,Quebec,Unemployment rate,5.0
2019-05,Quebec,Participation rate,65.0
2019-05,Quebec,Employment rate,61.7
2019-05,Ontario,Employment,7403.4
2019-05,Ontario,Full-time employment,6036.8
2019-05,Ontario,Part-time employment,1366.6
2019-05,Ontario,Unemployment rate,5.2
2019-05,Ontario,Participation rate,65.1
2019-05,Ontario,Employment rate,61.7
2019-05,Manitoba,Employment,662.3
2019-05,Manitoba,Full-time employment,530.8
2019-05,Manitoba,Part-time employment,131.6
2019-05,Manitoba,Unemployment rate,5.1
2019-05,Manitoba,Participation rate,67.1
2019-05,Manitoba,Employment rate,63.7
2019-05,Saskatchewan,Employment,573.0
2019-05,Saskatchewan,Full-time employment,471.4
2019-05,Saskatchewan,Part-time employment,101.6
2019-05,Saskatchewan,Unemployment rate,5.3
2019-05,Saskatchewan,Participation rate,68.8
2019-05,Saskatchewan,Employment rate,65.2
2019-05,Alberta,Employment,2306.6
2019-05,Alberta,Full-time employment,1871.2
2019-05,Alberta,Part-time employment,435.4
2019-05,Alberta,Unemployment rate,6.7
2019-05,Alberta,Participation rate,71.9
2019-05,Alberta,Employment rate,67.0
2019-05,British Columbia,Employment,2698.5
2019-05,British Columbia,Full-time employment,2113.9
2019-05,British Columbia,Part-time employment,584.6
2019-05,British Columbia,Unemployment rate,4.6
2019-05,British Columbia,Participation rate,66.9
2019-05,British Columbia,Employment rate,63.9
2019-06,Newfoundland and Labrador,Employment,230.1
2019-06,Newfoundland and Labrador,Full-time employment,198.7
2019-06,Newfoundland and Labrador,Part-time employment,31.4
2019-06,Newfoundland and Labrador,Unemployment rate,12.8
2019-06,Newfoundland and Labrador,Participation rate,58.8
2019-06,Newfoundland and Labrador,Employment rate,51.3
2019-06,Prince Edward Island,Employment,77.8
2019-06,Prince Edward Island,Full-time employment,66.0
2019-06,Prince Edward Island,Part-time employment,11.8
2019-06,Prince Edward Island,Unemployment rate,9.3
2019-06,Prince Edward Island,Participation rate,66.8
2019-06,Prince Edward Island,Employment rate,60.5
2019-06,Nova Scotia,Employment,467.1
2019-06,Nova Scotia,Full-time employment,379.2
2019-06,Nova Scotia,Part-time employment,87.9
2019-06,Nova Scotia,Unemployment rate,7.1
2019-06,Nova Scotia,Participation rate,62.2
2019-06,Nova Scotia,Employment rate,57.8
2019-06,New Brunswick,Employment,362.2
2019-06,New Brunswick,Full-time employment,306.6
2019-06,New Brunswick,Part-time employment,55.6
2019-06,New Brunswick,Unemployment rate,8.4
2019-06,New Brunswick,Participation rate,61.6
2019-06,New Brunswick,Employment rate,56.5
2019-06,Quebec,Employment,4293.4
2019-06,Quebec,Full-time employment,3488.6
2019-06,Quebec,Part-time employment,804.8
2019-06,Quebec,Unemployment rate,4.9
2019-06,Quebec,Participation rate,65.0
2019-06,Quebec,Employment rate,61.8
2019-06,Ontario,Employment,7403.6
2019-06,Ontario,Full-time employment,6009.8
2019-06,Ontario,Part-time employment,1393.9
2019-06,Ontario,Unemployment rate,5.3
2019-06,Ontario,Participation rate,65.1
2019-06,Ontario,Employment rate,61.6
2019-06,Manitoba,Employment,661.6
2019-06,Manitoba,Full-time employment,532.5
2019-06,Manitoba,Part-time employment,129.2
2019-06,Manitoba,Unemployment rate,5.5
2019-06,Manitoba,Participation rate,67.3
2019-06,Manitoba,Employment rate,63.5
2019-06,Saskatchewan,Employment,574.9
2019-06,Saskatchewan,Full-time employment,470.9
2019-06,Saskatchewan,Part-time employment,104.0
2019-06,Saskatchewan,Unemployment rate,5.1
2019-06,Saskatchewan,Participation rate,68.8
2019-06,Saskatchewan,Employment rate,65.3
2019-06,Alberta,Employment,2312.5
2019-06,Alberta,Full-time employment,1906.6
2019-06,Alberta,Part-time employment,405.9
2019-06,Alberta,Unemployment rate,6.7
2019-06,Alberta,Participation rate,71.9
2019-06,Alberta,Employment rate,67.1
2019-06,British Columbia,Employment,2695.3
2019-06,British Columbia,Full-time employment,2103.5
2019-06,British Columbia,Part-time employment,591.7
2019-06,British Columbia,Unemployment rate,4.8
2019-06,British Columbia,Participation rate,66.9
2019-06,British Columbia,Employment rate,63.7
2019-07,Newfoundland and Labrador,Employment,231.8
2019-07,Newfoundland and Labrador,Full-time employment,197.9
2019-07,Newfoundland and Labrador,Part-time employment,33.9
2019-07,Newfoundland and Labrador,Unemployment rate,12.7
2019-07,Newfoundland and Labrador,Participation rate,59.2
2019-07,Newfoundland and Labrador,Employment rate,51.6
2019-07,Prince Edward Island,Employment,78.6
2019-07,Prince Edward Island,Full-time employment,66.5
2019-07,Prince Edward Island,Part-time employment,12.2
2019-07,Prince Edward Island,Unemployment rate,8.8
2019-07,Prince Edward Island,Participation rate,67.0
2019-07,Prince Edward Island,Employment rate,61.1
2019-07,Nova Scotia,Employment,465.2
2019-07,Nova Scotia,Full-time employment,378.2
2019-07,Nova Scotia,Part-time employment,87.0
2019-07,Nova Scotia,Unemployment rate,7.5
2019-07,Nova Scotia,Participation rate,62.1
2019-07,Nova Scotia,Employment rate,57.4
2019-07,New Brunswick,Employment,358.5
2019-07,New Brunswick,Full-time employment,302.2
2019-07,New Brunswick,Part-time employment,56.3
2019-07,New Brunswick,Unemployment rate,9.2
2019-07,New Brunswick,Participation rate,61.5
2019-07,New Brunswick,Employment rate,55.8
2019-07,Quebec,Employment,4313.7
2019-07,Quebec,Full-time employment,3515.6
2019-07,Quebec,Part-time employment,798.1
2019-07,Quebec,Unemployment rate,4.8
2019-07,Quebec,Participation rate,65.2
2019-07,Quebec,Employment rate,62.0
2019-07,Ontario,Employment,7391.8
2019-07,Ontario,Full-time employment,6042.5
2019-07,Ontario,Part-time employment,1349.3
2019-07,Ontario,Unemployment rate,5.7
2019-07,Ontario,Participation rate,65.1
2019-07,Ontario,Employment rate,61.4
2019-07,Manitoba,Employment,660.0
2019-07,Manitoba,Full-time employment,529.4
2019-07,Manitoba,Part-time employment,130.6
2019-07,Manitoba,Unemployment rate,5.8
2019-07,Manitoba,Participation rate,67.1
2019-07,Manitoba,Employment rate,63.3
2019-07,Saskatchewan,Employment,572.9
2019-07,Saskatchewan,Full-time employment,461.8
2019-07,Saskatchewan,Part-time employment,111.1
2019-07,Saskatchewan,Unemployment rate,5.6
2019-07,Saskatchewan,Participation rate,68.9
2019-07,Saskatchewan,Employment rate,65.0
2019-07,Alberta,Employment,2314.4
2019-07,Alberta,Full-time employment,1886.4
2019-07,Alberta,Part-time employment,428.0
2019-07,Alberta,Unemployment rate,7.1
2019-07,Alberta,Participation rate,72.2
2019-07,Alberta,Employment rate,67.0
2019-07,British Columbia,Employment,2685.4
2019-07,British Columbia,Full-time employment,2084.6
2019-07,British Columbia,Part-time employment,600.8
2019-07,British Columbia,Unemployment rate,4.7
2019-07,British Columbia,Participation rate,66.5
2019-07,British Columbia,Employment rate,63.3
2019-08,Newfoundland and Labrador,Employment,230.5
2019-08,Newfoundland and Labrador,Full-time employment,194.4
2019-08,Newfoundland and Labrador,Part-time employment,36.1
2019-08,Newfoundland and Labrador,Unemployment rate,13.1
2019-08,Newfoundland and Labrador,Participation rate,59.1
2019-08,Newfoundland and Labrador,Employment rate,51.3
2019-08,Prince Edward Island,Employment,78.0
2019-08,Prince Edward Island,Full-time employment,66.5
2019-08,Prince Edward Island,Part-time employment,11.5
2019-08,Prince Edward Island,Unemployment rate,9.0
2019-08,Prince Edward Island,Participation rate,66.4
2019-08,Prince Edward Island,Employment rate,60.5
2019-08,Nova Scotia,Employment,465.2
2019-08,Nova Scotia,Full-time employment,379.1
2019-08,Nova Scotia,Part-time employment,86.1
2019-08,Nova Scotia,Unemployment rate,8.0
2019-08,Nova Scotia,Participation rate,62.3
2019-08,Nova Scotia,Employment rate,57.3
2019-08,New Brunswick,Employment,364.4
2019-08,New Brunswick,Full-time employment,309.5
2019-08,New Brunswick,Part-time employment,54.9
2019-08,New Brunswick,Unemployment rate,8.5
2019-08,New Brunswick,Participation rate,62.0
2019-08,New Brunswick,Employment rate,56.7
2019-08,Quebec,Employment,4329.0
2019-08,Quebec,Full-time employment,3518.2
2019-08,Quebec,Part-time employment,810.8
2019-08,Quebec,Unemployment rate,4.6
2019-08,Quebec,Participation rate,65.2
2019-08,Quebec,Employment rate,62.2
2019-08,Ontario,Employment,7446.6
2019-08,Ontario,Full-time employment,6084.9
2019-08,Ontario,Part-time employment,1361.7
2019-08,Ontario,Unemployment rate,5.6
2019-08,Ontario,Participation rate,65.4
2019-08,Ontario,Employment rate,61.7
2019-08,Manitoba,Employment,662.8
2019-08,Manitoba,Full-time employment,535.2
2019-08,Manitoba,Part-time employment,127.5
2019-08,Manitoba,Unemployment rate,5.2
2019-08,Manitoba,Participation rate,66.9
2019-08,Manitoba,Employment rate,63.5
2019-08,Saskatchewan,Employment,574.9
2019-08,Saskatchewan,Full-time employment,464.4
2019-08,Saskatchewan,Part-time employment,110.6
2019-08,Saskatchewan,Unemployment rate,5.3
2019-08,Saskatchewan,Participation rate,68.9
2019-08,Saskatchewan,Employment rate,65.2
2019-08,Alberta,Employment,2298.3
2019-08,Alberta,Full-time employment,1876.2
2019-08,Alberta,Part-time employment,422.1
2019-08,Alberta,Unemployment rate,7.6
2019-08,Alberta,Participation rate,71.9
2019-08,Alberta,Employment rate,66.5
2019-08,British Columbia,Employment,2684.2
2019-08,British Columbia,Full-time employment,2085.4
2019-08,British Columbia,Part-time employment,598.8
2019-08,British Columbia,Unemployment rate,5.0
2019-08,British Columbia,Participation rate,66.5
2019-08,British Columbia,Employment rate,63.2
2019-09,Newfoundland and Labrador,Employment,230.2
2019-09,Newfoundland and Labrador,Full-time employment,193.9
2019-09,Newfoundland and Labrador,Part-time employment,36.2
2019-09,Newfoundland and Labrador,Unemployment rate,11.4
2019-09,Newfoundland and Labrador,Participation rate,57.9
2019-09,Newfoundland and Labrador,Employment rate,51.3
2019-09,Prince Edward Island,Employment,79.2
2019-09,Prince Edward Island,Full-time employment,67.0
2019-09,Prince Edward Island,Part-time employment,12.1
2019-09,Prince Edward Island,Unemployment rate,8.4
2019-09,Prince Edward Island,Participation rate,66.9
2019-09,Prince Edward Island,Employment rate,61.3
2019-09,Nova Scotia,Employment,466.9
2019-09,Nova Scotia,Full-time employment,381.0
2019-09,Nova Scotia,Part-time employment,85.9
2019-09,Nova Scotia,Unemployment rate,7.3
2019-09,Nova Scotia,Participation rate,61.9
2019-09,Nova Scotia,Employment rate,57.4
2019-09,New Brunswick,Employment,363.2
2019-09,New Brunswick,Full-time employment,308.7
2019-09,New Brunswick,Part-time employment,54.4
2019-09,New Brunswick,Unemployment rate,8.0
2019-09,New Brunswick,Participation rate,61.3
2019-09,New Brunswick,Employment rate,56.4
2019-09,Quebec,Employment,4324.2
2019-09,Quebec,Full-time employment,3509.8
2019-09,Quebec,Part-time employment,814.4
2019-09,Quebec,Unemployment rate,5.1
2019-09,Quebec,Participation rate,65.4
2019-09,Quebec,Employment rate,62.0
2019-09,Ontario,Employment,7458.7
2019-09,Ontario,Full-time employment,6076.3
2019-09,Ontario,Part-time employment,1382.4
2019-09,Ontario,Unemployment rate,5.5
2019-09,Ontario,Participation rate,65.2
2019-09,Ontario,Employment rate,61.7
2019-09,Manitoba,Employment,663.6
2019-09,Manitoba,Full-time employment,538.6
2019-09,Manitoba,Part-time employment,125.0
2019-09,Manitoba,Unemployment rate,5.0
2019-09,Manitoba,Participation rate,66.8
2019-09,Manitoba,Employment rate,63.4
2019-09,Saskatchewan,Employment,578.2
2019-09,Saskatchewan,Full-time employment,470.7
2019-09,Saskatchewan,Part-time employment,107.5
2019-09,Saskatchewan,Unemployment rate,5.5
2019-09,Saskatchewan,Participation rate,69.3
2019-09,Saskatchewan,Employment rate,65.5
2019-09,Alberta,Employment,2308.9
2019-09,Alberta,Full-time employment,1886.9
2019-09,Alberta,Part-time employment,422.0
2019-09,Alberta,Unemployment rate,6.6
2019-09,Alberta,Participation rate,71.4
2019-09,Alberta,Employment rate,66.7
2019-09,British Columbia,Employment,2669.8
2019-09,British Columbia,Full-time employment,2101.6
2019-09,British Columbia,Part-time employment,568.1
2019-09,British Columbia,Unemployment rate,5.0
2019-09,British Columbia,Participation rate,66.0
2019-09,British Columbia,Employment rate,62.7
2019-10,Newfoundland and Labrador,Employment,229.5
2019-10,Newfoundland and Labrador,Full-time employment,190.4
2019-10,Newfoundland and Labrador,Part-time employment,39.1
2019-10,Newfoundland and Labrador,Unemployment rate,12.0
2019-10,Newfoundland and Labrador,Participation rate,58.1
2019-10,Newfoundland and Labrador,Employment rate,51.1
2019-10,Prince Edward Island,Employment,79.5
2019-10,Prince Edward Island,Full-time employment,67.6
2019-10,Prince Edward Island,Part-time employment,12.0
2019-10,Prince Edward Island,Unemployment rate,7.9
2019-10,Prince Edward Island,Participation rate,66.7
2019-10,Prince Edward Island,Employment rate,61.3
2019-10,Nova Scotia,Employment,467.3
2019-10,Nova Scotia,Full-time employment,381.0
2019-10,Nova Scotia,Part-time employment,86.4
2019-10,Nova Scotia,Unemployment rate,7.8
2019-10,Nova Scotia,Participation rate,62.3
2019-10,Nova Scotia,Employment rate,57.4
2019-10,New Brunswick,Employment,360.7
2019-10,New Brunswick,Full-time employment,306.0
2019-10,New Brunswick,Part-time employment,54.7
2019-10,New Brunswick,Unemployment rate,8.3
2019-10,New Brunswick,Participation rate,61.0
2019-10,New Brunswick,Employment rate,56.0
2019-10,Quebec,Employment,4308.4
2019-10,Quebec,Full-time employment,3484.1
2019-10,Quebec,Part-time employment,824.3
2019-10,Quebec,Unemployment rate,5.1
2019-10,Quebec,Participation rate,65.1
2019-10,Quebec,Employment rate,61.8
2019-10,Ontario,Employment,7444.6
2019-10,Ontario,Full-time employment,6065.2
2019-10,Ontario,Part-time employment,1379.4
2019-10,Ontario,Unemployment rate,5.5
2019-10,Ontario,Participation rate,65.0
2019-10,Ontario,Employment rate,61.5
2019-10,Manitoba,Employment,661.9
2019-10,Manitoba,Full-time employment,532.2
2019-10,Manitoba,Part-time employment,129.7
2019-10,Manitoba,Unemployment rate,5.3
2019-10,Manitoba,Participation rate,66.8
2019-10,Manitoba,Employment rate,63.2
2019-10,Saskatchewan,Employment,577.5
2019-10,Saskatchewan,Full-time employment,468.5
2019-10,Saskatchewan,Part-time employment,109.0
2019-10,Saskatchewan,Unemployment rate,5.3
2019-10,Saskatchewan,Participation rate,69.0
2019-10,Saskatchewan,Employment rate,65.4
2019-10,Alberta,Employment,2311.7
2019-10,Alberta,Full-time employment,1890.9
2019-10,Alberta,Part-time employment,420.8
2019-10,Alberta,Unemployment rate,6.7
2019-10,Alberta,Participation rate,71.4
2019-10,Alberta,Employment rate,66.7
2019-10,British Columbia,Employment,2689.7
2019-10,British Columbia,Full-time employment,2117.4
2019-10,British Columbia,Part-time employment,572.3
2019-10,British Columbia,Unemployment rate,4.9
2019-10,British Columbia,Participation rate,66.3
2019-10,British Columbia,Employment rate,63.1
2019-11,Newfoundland and Labrador,Employment,228.0
2019-11,Newfoundland and Labrador,Full-time employment,189.1
2019-11,Newfoundland and Labrador,Part-time employment,38.9
2019-11,Newfoundland and Labrador,Unemployment rate,12.3
2019-11,Newfoundland and Labrador,Participation rate,57.9
2019-11,Newfoundland and Labrador,Employment rate,50.8
2019-11,Prince Edward Island,Employment,79.1
2019-11,Prince Edward Island,Full-time employment,67.4
2019-11,Prince Edward Island,Part-time employment,11.7
2019-11,Prince Edward Island,Unemployment rate,7.6
2019-11,Prince Edward Island,Participation rate,65.9
2019-11,Prince Edward Island,Employment rate,60.9
2019-11,Nova Scotia,Employment,465.0
2019-11,Nova Scotia,Full-time employment,378.1
2019-11,Nova Scotia,Part-time employment,86.9
